,subID,onset,target_child_name,target_child_age,meanF0,stdevF0,minF0,maxF0,Language,Contingency
4668,010512,Braunwald.wav,53896.0,010512,206.32712407802728,20.35891047306506,173.48904426062245,237.716949626549,English,Non-contingent
4669,020221,Braunwald.wav,1776974.0,020221,261.0016733892973,57.65902360715099,211.20849664245637,389.54215416184553,English,Non-contingent
4670,020221,Braunwald.wav,2855327.0,020221,209.10295019076827,35.841604916228796,149.76185713614015,244.63616960786376,English,Non-contingent
4671,011019,Braunwald.wav,825477.0,011019,229.59065977282458,59.02241691658281,85.6673006894583,400.298790816825,English,Non-contingent
4672,020502,Braunwald.wav,209134.0,020502,150.57111839137113,9.26132603726324,135.03019288636307,166.18318708098315,English,Non-contingent
4673,020819,Braunwald.wav,816595.0,020819,297.537505651271,60.270561284381124,220.1170853470293,546.8047153310928,English,Non-contingent
4674,020223,Braunwald.wav,347649.0,020223,154.07920717215163,21.07094034120007,75.6695973373667,216.731120895292,English,Non-contingent
4675,010906,Braunwald.wav,6629.0,010906,258.4365899142081,87.13323379624607,95.46311480576034,359.21144113266797,English,Non-contingent
4676,010819,Braunwald.wav,311344.0,010819,194.48190204246882,75.22430674273349,75.33962251713224,363.56622207776576,English,Non-contingent
4677,040311c,Braunwald.wav,465312.0,040311c,269.18603474008074,74.77834721336347,76.78694065996221,464.19813162505056,English,Non-contingent
4678,010819,Braunwald.wav,621056.0,010819,396.5671348070658,65.02115136346737,285.0329843964336,473.4302466521231,English,Non-contingent
4679,020811,Braunwald.wav,98953.0,020811,174.40166482509485,28.248850240893358,69.9504340148459,234.15180307607287,English,Non-contingent
4680,010603,Braunwald.wav,276547.0,010603,251.7045961939682,84.08450564112987,184.54811459957614,425.60315997273983,English,Non-contingent
4681,011124,Braunwald.wav,1067130.0,011124,195.18097049367537,32.385776338893166,75.6434366829579,213.03798449894947,English,Non-contingent
4682,041000,Braunwald.wav,5326382.0,041000,321.91449855214853,30.10914048717022,237.06130909530165,370.7312619519072,English,Non-contingent
4683,041000,Braunwald.wav,3385870.0,041000,212.17795327255632,11.453209534701449,195.3240615672917,230.06242984933195,English,Non-contingent
4684,030627b,Braunwald.wav,56113.0,030627b,350.6715379288134,116.42289809930504,81.99695567369658,622.1692516200172,English,Non-contingent
4685,010705,Braunwald.wav,1054451.0,010705,220.56288439211158,10.72040772391685,196.13674064614912,239.03774005797737,English,Non-contingent
4686,030528a,Braunwald.wav,788797.0,030528a,186.10110228632166,107.11239469312248,146.1714171817141,584.9146804483743,English,Non-contingent
