transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,directedness,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id
643,11356.453,11356.528,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11361.283,11361.417,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11362.314,11362.459,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11370.694,11370.824,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11371.335,11372.681,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11389.795,11390.349,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11395.831,11395.977,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11398.945,11399.939,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11400.511,11401.72,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11446.776,11446.993,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11452.567,11453.759,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11455.381,11456.388,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11461.264,11462.352,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11463.176,11463.82,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11465.945,11466.301,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11470.716,11471.199,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11472.993,11473.505,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11479.537,11479.966,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,14392.212,14392.313,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,16673.534,16674.013,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17764.74,17764.928,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17767.462,17767.514,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17771.876,17772,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17772.698,17772.85,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17774.61,17774.788,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17776.276,17776.434,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17778.928,17779.99,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17783.772,17783.858,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17785.602,17785.85,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17787.844,17788.498,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17792.934,17793.036,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17793.636,17793.82,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17794.768,17794.868,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17796.408,17796.502,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17798.622,17799.296,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17799.932,17801.196,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,17801.784,17802.306,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
